"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN","WDF5","WSF5"
"USW00013960","32.8519","-96.8555","134.1","1939-10-20","0.00","87","57",,
"USW00013960","32.8519","-96.8555","134.1","1939-10-21","0.00","93","58",,
"USW00013960","32.8519","-96.8555","134.1","1939-10-22","0.00","95","63",,
"USW00013960","32.8519","-96.8555","134.1","1939-10-23","0.00","92","64",,
"USW00013960","32.8519","-96.8555","134.1","1939-10-24","0.00","84","72",,
"USW00013960","32.8519","-96.8555","134.1","1939-10-25","0.00","88","74",,
"USW00013960","32.8519","-96.8555","134.1","1939-10-26","0.00","87","76",,
"USW00013960","32.8519","-96.8555","134.1","1939-10-27","0.00","89","72",,
"USW00013960","32.8519","-96.8555","134.1","1939-10-28","0.00","68","48",,
"USW00013960","32.8519","-96.8555","134.1","1939-10-29","0.00","75","42",,
"USW00013960","32.8519","-96.8555","134.1","1939-10-30","0.00","64","46",,
"USW00013960","32.8519","-96.8555","134.1","1939-10-31","0.00","74","34",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-01","0.00","85","48",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-02","0.00","69","41",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-03","0.00","56","34",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-04","0.00","60","31",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-05","0.00","67","38",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-06","0.00","70","41",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-07","0.00","78","59",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-08","0.00","81","49",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-09","0.00","72","58",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-10","0.76","68","52",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-11","0.78","47","43",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-12","0.18","59","42",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-13","0.00","62","36",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-14","0.00","62","37",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-15","0.01","55","52",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-16","0.00","61","50",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-17","0.84","62","54",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-18","0.26","65","48",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-19","0.00","70","44",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-20","0.00","65","40",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-21","0.00","64","35",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-22","0.00","69","35",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-23","0.00","72","39",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-24","0.00","66","43",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-25","0.00","48","37",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-26","0.00","50","39",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-27","0.00","52","35",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-28","0.00","51","30",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-29","0.69","48","42",,
"USW00013960","32.8519","-96.8555","134.1","1939-11-30","0.68","54","44",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-01","0.00","70","43",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-02","0.00","61","41",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-03","0.00","66","35",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-04","0.00","73","40",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-05","0.00","76","36",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-06","0.00","78","36",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-07","0.00","82","41",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-08","0.00","74","40",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-09","0.00","76","48",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-10","0.00","78","44",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-11","0.00","78","44",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-12","0.00","73","47",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-13","0.00","62","35",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-14","0.00","64","29",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-15","0.00","70","41",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-16","0.00","72","30",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-17","0.00","78","38",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-18","0.00","71","51",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-19","0.00","58","32",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-20","0.00","68","29",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-21","0.00","70","39",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-22","0.45","61","48",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-23","0.04","60","35",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-24","0.00","42","35",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-25","0.26","40","37",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-26","0.02","41","35",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-27","0.00","42","28",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-28","0.00","38","27",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-29","0.00","42","20",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-30","0.00","56","24",,
"USW00013960","32.8519","-96.8555","134.1","1939-12-31","0.00","66","28",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-01","0.00","49","29",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-02","0.00","43","25",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-03","0.00","50","28",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-04","0.05","47","34",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-05","0.00","35","28",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-06","0.64","36","29",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-07","0.00","30","19",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-08","0.00","31","14",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-09","0.00","45","26",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-10","0.00","66","44",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-11","0.00","72","40",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-12","0.00","53","33",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-13","0.00","67","31",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-14","0.00","48","28",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-15","0.00","51","22",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-16","0.00","59","23",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-17","0.00","62","28",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-18","0.00","32","7",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-19","0.00","28","6",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-20","0.00","38","12",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-21","0.00","32","16",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-22","0.18","25","5",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-23","0.00","40","0",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-24","0.00","30","15",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-25","0.00","24","12",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-26","0.00","32","16",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-27","0.00","40","15",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-28","0.00","56","21",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-29","0.00","61","33",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-30","0.00","55","29",,
"USW00013960","32.8519","-96.8555","134.1","1940-01-31","0.00","59","26",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-01","0.08","59","35",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-02","0.33","50","44",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-03","0.54","44","38",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-04","0.01","61","41",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-05","0.04","55","40",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-06","0.01","47","34",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-07","0.00","67","33",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-08","0.00","61","36",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-09","0.01","36","27",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-10","0.00","62","27",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-11","0.00","72","33",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-12","0.00","68","43",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-13","0.00","53","33",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-14","0.00","57","26",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-15","0.00","57","41",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-16","1.40","51","43",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-17","0.16","48","37",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-18","0.00","48","36",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-19","0.00","47","30",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-20","0.00","44","30",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-21","0.00","55","26",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-22","0.00","56","29",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-23","0.00","59","45",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-24","0.00","58","32",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-25","0.00","49","29",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-26","0.00","62","39",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-27","0.00","74","53",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-28","0.00","82","45",,
"USW00013960","32.8519","-96.8555","134.1","1940-02-29","0.00","85","44",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-01","0.00","76","58",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-02","0.00","61","46",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-03","0.00","69","40",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-04","0.00","62","36",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-05","0.00","69","37",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-06","0.00","81","44",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-07","0.00","62","41",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-08","0.00","63","36",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-09","0.00","78","45",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-10","0.05","80","59",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-11","0.50","83","59",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-12","0.69","74","39",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-13","0.00","50","32",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-14","0.00","61","30",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-15","0.00","74","39",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-16","0.00","74","45",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-17","0.00","80","53",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-18","0.00","70","50",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-19","0.00","69","45",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-20","0.00","76","49",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-21","0.00","81","49",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-22","0.00","74","54",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-23","0.04","81","51",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-24","0.00","65","41",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-25","0.00","56","34",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-26","0.00","69","45",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-27","0.22","72","55",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-28","0.00","87","61",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-29","0.19","71","54",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-30","0.00","80","48",,
"USW00013960","32.8519","-96.8555","134.1","1940-03-31","0.00","90","59",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-01","0.00","87","58",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-02","0.00","82","70",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-03","0.00","88","61",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-04","0.00","91","62",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-05","0.66","68","46",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-06","2.85","50","45",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-07","0.00","62","41",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-08","0.00","65","45",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-09","0.00","72","45",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-10","0.00","78","60",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-11","0.52","70","39",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-12","0.00","49","32",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-13","0.00","74","32",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-14","0.00","84","44",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-15","0.00","90","56",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-16","0.00","84","65",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-17","1.16","78","50",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-18","0.00","59","46",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-19","0.00","71","43",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-20","0.00","77","44",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-21","0.00","80","54",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-22","0.12","90","60",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-23","0.00","71","55",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-24","0.00","67","48",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-25","0.00","78","51",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-26","0.00","82","58",,
